Formato,RUT,Razón Social,Nombre de Fantasía,Dirección,N + D,Región,Comuna,Ejecutivo,Día de Visita,Frecuencia,Latitud,Longitud
Barril,76.387.390-0,Cafeteria Manuel Montt Ltda,Dublin,Manuel Montt 130,Providencia,Región Metropolitana,Providencia,Armiro Perez,Lunes,Semanal,-33.4329,-70.6065
Barril,76.763.751-9,Vegas Grateron y Asociados Spa,Holy Moly 2,Hernando de Aguirre 129,Providencia,Región Metropolitana,Providencia,Armiro Perez,Martes,Semanal,-33.4301,-70.6078
Barril,76.121.432-1,Sociedad Gastronomica FCF Ltda,Bar Kross Antofagasta,Republica de Croacia 0738,La Pintana,Región Metropolitana,La Pintana,Carlos Muñoz,Miércoles,Quincenal,-33.5789,-70.6234
Barril,76.234.567-8,Resto Lounge Las Condes SpA,Skybar Las Condes,Apoquindo 5678,Las Condes,Región Metropolitana,Las Condes,María González,Jueves,Semanal,-33.4099,-70.5654
Barril,76.345.678-9,Pub y Taberna Celta SpA,The Celtic Pub,Loreto 123,Providencia,Región Metropolitana,Providencia,Carlos Muñoz,Viernes,Semanal,-33.4345,-70.6201
Barril,76.456.789-0,Gastrobar Los Alpes Ltda,Los Alpes Biergarten,Eliodoro Yáñez 432,Providencia,Región Metropolitana,Providencia,María González,Lunes,Quincenal,-33.4295,-70.6089
Barril,76.567.890-1,Craft Beer House Ltda,The Hop House,Loreto 480,Providencia,Región Metropolitana,Providencia,Carlos Muñoz,Martes,Semanal,-33.4351,-70.6198
Barril,76.678.901-2,Restaurant El Toro SpA,El Toro Resto Bar,Av. Providencia 1234,Providencia,Región Metropolitana,Providencia,Carlos Muñoz,Lunes,Semanal,-33.4259,-70.6066
Barril,76.789.012-3,Bar Terrace Bellavista Ltda,Terrace Bellavista,Pío Nono 567,Bellavista,Región Metropolitana,Recoleta,María González,Miércoles,Semanal,-33.4289,-70.6345
Barril,76.890.123-4,Cervecería Artesanal Barrio Italia,Barrio Malteado,Av. Italia 456,Ñuñoa,Región Metropolitana,Ñuñoa,Diego Soto,Jueves,Quincenal,-33.4512,-70.5987
Barril,76.901.234-5,Hotel Boutique Centro SpA,Hotel Central Bar,Moneda 1234,Santiago Centro,Región Metropolitana,Santiago,Carlos Muñoz,Viernes,Mensual,-33.4427,-70.6551
Barril,77.012.345-6,Cervecería La Esquina Ltda,La Esquina Craft Beer,Condell 789,Ñuñoa,Región Metropolitana,Ñuñoa,Diego Soto,Lunes,Semanal,-33.4598,-70.5934
Barril,77.123.456-7,Restaurante El Huerto SpA,El Huerto Garden,Orrego Luco 054,Providencia,Región Metropolitana,Providencia,María González,Martes,Semanal,-33.4267,-70.6134
Barril,77.234.567-8,Club de Golf Los Leones,Los Leones 19th Hole Bar,Alcántara 550,Las Condes,Región Metropolitana,Las Condes,Diego Soto,Jueves,Mensual,-33.4123,-70.5812
Barril,77.345.678-9,Restaurante Japonés Akira SpA,Akira Fusion Bar,Nueva Costanera 890,Vitacura,Región Metropolitana,Vitacura,María González,Viernes,Quincenal,-33.3945,-70.5901
Barril,77.456.789-0,Hotel Gran Via SpA,Gran Via Rooftop Bar,Avda Brasil 1234,Valparaíso,Región de Valparaíso,Valparaíso,Diego Soto,Miércoles,Mensual,-33.0472,-71.6127
Barril,77.567.890-1,Restaurante Vista al Mar SpA,Vista Hermosa Beach Club,Av. del Mar 123,La Serena,Región de Coquimbo,La Serena,Ana Pérez,Martes,Mensual,-29.9045,-71.2489
Barril,77.678.901-2,Club Social Deportivo Andrés Bello,Club Andrés Bello,Macul 2345,Macul,Región Metropolitana,Macul,Diego Soto,Jueves,Quincenal,-33.4789,-70.5623
Barril,77.789.012-3,Viñedos y Restaurante Maipo,Maipo Wine & Beer,Ruta 5 Sur km 45,Buin,Región Metropolitana,Buin,María González,Miércoles,Mensual,-33.7234,-70.7456
Barril,77.890.123-4,Sociedad Hotelera Sur Ltda,Hotel Patagonia Bar,O'Higgins 1234,Puerto Montt,Región de Los Lagos,Puerto Montt,Ana Pérez,Lunes,Mensual,-41.4689,-72.9411
